Conflito,Combatente 1,Combatente 2,Resultado
Revolta do Cacaolinho(1891),Brasil Governo do Estado do Pará,Rebeldes Paraenses,Rebeldes derrotados.
Primeira Revolta da Armada(1891),Brasil,Marinha do Brasil,Motim controlado. Renúncia do Marechal Deodoro da Fonseca.
Revolta dos Colonos(1891–1893),Brasil,Colonos Italianos,Pacificação da revolta.
Primeira revolta de Boa Vista(1892–1894),Brasil,Rebeldes de Boa Vista,Revolta controlada.
Conflito de Trinidad(1893–1895),Brasil Reino de Portugal,Principado de Trinidad Reino Unido da Grã-Bretanha e Irlanda,Falha da independência de Trinidad. Falha na anexação britânica de Trinidad. Soberania brasileira sobre Trinidad.
Segunda Revolta da Armada(1893–1894),Brasil,Marinha do Brasil,Motim controlado.
Revolução Federalista(1893–1895),Brasil Ximangos,Maragatos Voluntários Castelhanos Apoiados por:  Argentina Uruguai,Rebelião derrotada.
Intrusão Francesa no Amapá(1895),Brasil,França  Guiana Francesa,Expulsão das tropas francesas.
Revolta de Manhuassu(1896),Brasil,República de Manhuassu,Derrota da revolta e reconquista do município pelo Exército Brasileiro.
Guerra de Canudos(1896–1897),Brasil,Canudos,Povoamento destruído e habitantes reassentados.
Guerra do Acre(1899–1903),Brasil Acre,Bolívia Apoiado por:  Estados Unidos,Anexação brasileira do Acre. Capitulação das tropas bolivianas no Acre.
Guerra do Pinheirinho(1902),Brasil,Monges do Pinheirinho,Derrota do grupo.
Revolta de Ribeirãozinho(1902),Brasil,Monarquistas,Falha da revolta.
Segundo Conflito de Cunani(1904-1912),Brasil Apoiado por:  França,Estado Livre de Cunani,Rebelião reprimida.
Revolta da Vacina(1904),Brasil,Revoltosos cariocas,Revoltosos derrotados. Processo de vacinação continua; erradicação da varíola na capital carioca.
Caso do cruzador Panther(1905–1906),Brasil,Império Alemão,Vitória diplomática brasileira. Relações entre Brasil e Alemanha continuam.
Segunda revolta de Boa Vista(1907–1909),Brasil,Rebeldes de Boa Vista,Revolta controlada. Morte de Leão Leda.
Revolta da Chibata(1910),Brasil,Marinha do Brasil,Motim controlado. Revoltosos anistiados e depois reprimidos. Prisão e demissão de militares da marinha brasileira. Fim do castigo corporal na Marinha do Brasil.
Guerra do Contestado(1912–1916),Brasil,Rebeldes,Rebelião destruída.
Sedição de Juazeiro(1914),Brasil,Oligarcas Cearenses,Revolta reprimida.
Primeira Guerra Mundial(1914–1918),Reino Unido França Rússia Reino da Itália Estados Unidos Brasil Outros Aliados: Aliados da Primeira Guerra Mundial,Império Alemão Áustria-Hungria Império Otomano Reino da Bulgária Outros Aliados: Impérios Centrais,"Fim do Império Alemão, Império Russo, Império Otomano, e Áustria-Hungria. Formação de novos países na Europa e no Oriente-médio Transferência das colônias alemães e das províncias do Império Otomano para outros países. Criação da Liga das Nações."
Insurreição anarquista de 1918(1918),Brasil,Anarquistas,Rebeldes derrotados. Perseguição de organizações anarquistas.
Tenentismo(1922–1927),Brasil,Tenentismo,Rebelião reprimida.
Revolução de 1923(1923),Brasil Ximangos,Maragatos,Pacto de Pedras Altas
Guerra de Princesa(1930),Brasil,Território de Princesa,Perda de força do movimento rebelde após o assassinato de João Pessoa. Acordo entre o governo e os revoltosos.
Revolução de 1930(1930),Primeira República Brasileira,Aliança Liberal  Rio Grande do Sul  Minas Gerais  Paraíba,Fim da República Velha. Início da Era Vargas.
